"","class","fueltype","engine","cylinders","consumption","emissions"
"2001 MERCEDES-BENZ S 500 A5","CAR","DIESEL",5,8,16.2,320
"2001 MERCEDES-BENZ SL 500 A5","CAR","DIESEL",5,8,16.3,322
"2001 MERCEDES-BENZ SLK 230 KOMPRESSOR A5","CAR","DIESEL",2.3,6,11.8,239
"2001 MERCEDES-BENZ SLK 230 KOMPRESSOR M6","CAR","DIESEL",2.3,6,13.2,258
"2001 MERCEDES-BENZ SLK 320 A5","CAR","DIESEL",3.2,6,12.9,260
"2001 MERCEDES-BENZ SLK 320 M6","CAR","DIESEL",3.2,6,14.6,283
"2001 NISSAN ALTIMA A4","CAR","GAS",2.4,4,12.3,251
"2001 NISSAN ALTIMA M5","CAR","GAS",2.4,4,11.6,235
"2001 NISSAN FRONTIER A4","TRUCK/SUV","GAS",2.4,4,13.5,283
"2001 NISSAN FRONTIER M5","TRUCK/SUV","GAS",2.4,4,12,255
"2001 NISSAN FRONTIER V6 A4","TRUCK/SUV","GAS",3.3,6,16.6,345
"2001 NISSAN FRONTIER V6 M5","TRUCK/SUV","GAS",3.3,6,16,340
"2001 NISSAN FRONTIER V6 # A4","TRUCK/SUV","DIESEL",3.3,6,17,359
"2001 NISSAN FRONTIER V6 # M5","TRUCK/SUV","DIESEL",3.3,6,17.3,366
"2001 NISSAN FRONTIER V6 4X4 A4","TRUCK/SUV","GAS",3.3,6,17,357
"2001 NISSAN FRONTIER V6 4X4 M5","TRUCK/SUV","GAS",3.3,6,16.2,347
"2001 NISSAN FRONTIER V6 4X4 # A4","TRUCK/SUV","DIESEL",3.3,6,17.4,366
"2001 NISSAN FRONTIER V6 4X4 # M5","TRUCK/SUV","DIESEL",3.3,6,17.6,373
"2001 NISSAN MAXIMA A4","CAR","GAS",3,6,13.6,271
"2001 NISSAN MAXIMA M5","CAR","GAS",3,6,12.2,251
"2001 NISSAN PATHFINDER 4X4 A4","TRUCK/SUV","GAS",3.5,6,17.3,363
"2001 NISSAN PATHFINDER 4X4 M5","TRUCK/SUV","GAS",3.5,6,16.4,350
"2001 NISSAN QUEST A4","TRUCK/SUV","GAS",3.3,6,15.5,311
"2001 NISSAN SENTRA A4","CAR","GAS",1.8,4,10.3,212
"2001 NISSAN SENTRA M5","CAR","GAS",1.8,4,10.1,205
"2001 NISSAN XTERRA V6 4X4 A4","TRUCK/SUV","GAS",3.3,6,17,357
"2001 NISSAN XTERRA V6 4X4 M5","TRUCK/SUV","GAS",3.3,6,16.2,347
"2001 OLDSMOBILE ALERO A4","CAR","GAS",2.4,4,12.7,251
"2001 OLDSMOBILE ALERO M5","CAR","GAS",2.4,4,13.1,255
"2001 OLDSMOBILE AURORA A4","CAR","GAS",3.5,6,14.9,288
"2001 OLDSMOBILE INTRIGUE A4","CAR","GAS",3.5,6,13.8,271
"2001 OLDSMOBILE SILHOUETTE A4","TRUCK/SUV","GAS",3.4,6,13.8,276
"2001 PLYMOUTH PROWLER AS4","CAR","DIESEL",3.5,6,15.4,311
"2001 PONTIAC AZTEK A4","TRUCK/SUV","GAS",3.4,6,13.8,276
"2001 PONTIAC AZTEK AWD A4","TRUCK/SUV","GAS",3.4,6,14.3,288
"2001 PONTIAC BONNEVILLE A4","CAR","GAS",3.8,6,13.8,265
"2001 PONTIAC BONNEVILLE # A4","CAR","DIESEL",3.8,6,14.5,278
"2001 PONTIAC FIREBIRD A4","CAR","GAS",3.8,6,13.7,260
"2001 PONTIAC FIREBIRD M5","CAR","GAS",3.8,6,13.8,260
"2001 PONTIAC FIREBIRD M6","CAR","DIESEL",5.7,8,14.4,283
"2001 PONTIAC GRAND AM A4","CAR","GAS",2.4,4,12.7,251
"2001 PONTIAC GRAND AM M5","CAR","GAS",2.4,4,12.9,251
"2001 PONTIAC GRAND PRIX A4","CAR","GAS",3.1,6,13,258
"2001 PONTIAC GRAND PRIX # A4","CAR","DIESEL",3.8,6,14.3,276
"2001 PONTIAC MONTANA A4","TRUCK/SUV","GAS",3.4,6,13.8,276
"2001 PONTIAC SUNFIRE A4","CAR","GAS",2.2,4,11.7,235
"2001 PONTIAC SUNFIRE M5","CAR","GAS",2.2,4,12.2,239
"2001 PORSCHE 911 CARRERA AS5","CAR","DIESEL",3.4,6,16,308
"2001 PORSCHE 911 CARRERA M6","CAR","DIESEL",3.4,6,15.4,301
"2001 PORSCHE 911 CARRERA 4 AS5","CAR","DIESEL",3.4,6,16,313
"2001 PORSCHE 911 CARRERA 4 M6","CAR","DIESEL",3.4,6,15.7,311
"2001 PORSCHE 911 TURBO AS5","CAR","DIESEL",3.6,6,17.7,343
"2001 PORSCHE 911 TURBO M6","CAR","DIESEL",3.6,6,17.2,338
"2001 PORSCHE BOXSTER AS5","CAR","DIESEL",2.7,6,15,297
"2001 PORSCHE BOXSTER M5","CAR","DIESEL",2.7,6,13.7,271
"2001 PORSCHE BOXSTER S AS5","CAR","DIESEL",3.2,6,15.9,311
"2001 PORSCHE BOXSTER S M6","CAR","DIESEL",3.2,6,15,294
"2001 SAAB 9-3 TURBO A4","CAR","GAS",2,4,12.7,255
"2001 SAAB 9-3 TURBO M5","CAR","GAS",2,4,13,260
"2001 SAAB 9-3 TURBO # A4","CAR","DIESEL",2,4,12.7,253
"2001 SAAB 9-3 TURBO # M5","CAR","DIESEL",2,4,12.2,242
"2001 SAAB 9-5 TURBO A4","CAR","GAS",2.3,4,13.3,262
"2001 SAAB 9-5 TURBO M5","CAR","GAS",2.3,4,13.1,255
"2001 SAAB 9-5 TURBO # A4","CAR","DIESEL",2.3,4,14,281
"2001 SAAB 9-5 TURBO # M5","CAR","DIESEL",2.3,4,13.2,265
"2001 SAAB 9-5 WAGON TURBO A4","TRUCK/SUV","GAS",2.3,4,13.3,262
"2001 SAAB 9-5 WAGON TURBO M5","TRUCK/SUV","GAS",2.3,4,13.1,255
"2001 SAAB 9-5 WAGON TURBO # A4","TRUCK/SUV","DIESEL",2.3,4,14,281
"2001 SAAB 9-5 WAGON TURBO # M5","TRUCK/SUV","DIESEL",2.3,4,13.2,265
"2001 SATURN L100/200 A4","CAR","GAS",2.2,4,11.7,235
"2001 SATURN L100/200 M5","CAR","GAS",2.2,4,12.2,239
"2001 SATURN L300 A4","CAR","GAS",3,6,13.3,269
"2001 SATURN LW200 WAGON A4","TRUCK/SUV","GAS",2.2,4,11.3,225
"2001 SATURN LW300 WAGON A4","TRUCK/SUV","GAS",3,6,13.3,269
"2001 SATURN SC COUPE A4","CAR","GAS",1.9,4,10.3,205
"2001 SATURN SC COUPE M5","CAR","GAS",1.9,4,9.6,189
"2001 SATURN SC COUPE # A4","CAR","GAS",1.9,4,10.6,209
"2001 SATURN SC COUPE # M5","CAR","GAS",1.9,4,10.3,202
"2001 SATURN SL A4","CAR","GAS",1.9,4,10,198
"2001 SATURN SL M5","CAR","GAS",1.9,4,9.3,184
"2001 SATURN SL # A4","CAR","GAS",1.9,4,10.6,209
"2001 SATURN SL # M5","CAR","GAS",1.9,4,10.3,202
"2001 SATURN SW WAGON # A4","TRUCK/SUV","GAS",1.9,4,10.6,209
"2001 SATURN SW WAGON # M5","TRUCK/SUV","GAS",1.9,4,10.3,202
"2001 SUBARU FORESTER AWD A4","TRUCK/SUV","GAS",2.5,4,12.2,255
"2001 SUBARU FORESTER AWD M5","TRUCK/SUV","GAS",2.5,4,12.5,253
"2001 SUBARU IMPREZA AWD A4","CAR","GAS",2.2,4,11.7,239
"2001 SUBARU IMPREZA AWD M5","CAR","GAS",2.2,4,11.8,242
"2001 SUBARU IMPREZA WAGON AWD A4","TRUCK/SUV","GAS",2.2,4,11.7,239
"2001 SUBARU IMPREZA WAGON AWD M5","TRUCK/SUV","GAS",2.2,4,11.8,242
"2001 SUBARU LEGACY AWD A4","CAR","GAS",2.5,4,12.2,255
"2001 SUBARU LEGACY AWD M5","CAR","GAS",2.5,4,12.5,253
"2001 SUBARU LEGACY WAGON AWD A4","TRUCK/SUV","GAS",2.5,4,12.3,255
"2001 SUBARU LEGACY WAGON AWD M5","TRUCK/SUV","GAS",2.5,4,12.5,253
"2001 SUZUKI ESTEEM A4","CAR","GAS",1.6,4,9.9,205
"2001 SUZUKI ESTEEM M5","CAR","GAS",1.6,4,8.8,182
"2001 SUZUKI ESTEEM WAGON A4","TRUCK/SUV","GAS",1.8,4,10.3,209
"2001 SUZUKI ESTEEM WAGON M5","TRUCK/SUV","GAS",1.8,4,9.6,196
"2001 SUZUKI GRAND VITARA 4X4 A4","TRUCK/SUV","GAS",2.5,6,14.5,313
"2001 SUZUKI GRAND VITARA 4X4 M5","TRUCK/SUV","GAS",2.5,6,13.8,294
"2001 SUZUKI SWIFT A3","CAR","GAS",1.3,4,9.1,191
"2001 SUZUKI SWIFT M5","CAR","GAS",1.3,4,7.6,156
"2001 SUZUKI VITARA 4-DOOR 4X4 A4","TRUCK/SUV","GAS",2,4,11.7,251
"2001 SUZUKI VITARA 4-DOOR 4X4 M5","TRUCK/SUV","GAS",2,4,11.8,253
"2001 SUZUKI VITARA CONVERTIBLE 4X4 M5","TRUCK/SUV","GAS",1.6,4,10.5,228
"2001 SUZUKI VITARA CONVERTIBLE 4X4 A4","TRUCK/SUV","GAS",2,4,11.7,253
"2001 SUZUKI XL-7 4X4 A4","TRUCK/SUV","GAS",2.7,6,15.4,327
"2001 SUZUKI XL-7 4X4 M5","TRUCK/SUV","GAS",2.7,6,15.2,322
"2001 TOYOTA 4RUNNER 4X4 A4","TRUCK/SUV","GAS",3.4,6,16.1,343
"2001 TOYOTA AVALON A4","CAR","GAS",3,6,12.7,251
"2001 TOYOTA CAMRY A4","CAR","GAS",2.2,4,11.5,230
"2001 TOYOTA CAMRY M5","CAR","GAS",2.2,4,11.3,223
"2001 TOYOTA CAMRY SOLARA A4","CAR","GAS",2.2,4,11.5,230
"2001 TOYOTA CAMRY SOLARA M5","CAR","GAS",3,6,12.7,253
"2001 TOYOTA CAMRY SOLARA CONVERTIBLE A4","CAR","GAS",3,6,14,281
"2001 TOYOTA CELICA A4","CAR","GAS",1.8,4,9.5,193
"2001 TOYOTA CELICA AS4","CAR","DIESEL",1.8,4,11.6,237
"2001 TOYOTA CELICA M5","CAR","GAS",1.8,4,9.6,202
"2001 TOYOTA CELICA M6","CAR","DIESEL",1.8,4,11.6,230
"2001 TOYOTA COROLLA A4","CAR","GAS",1.8,4,8.9,179
"2001 TOYOTA COROLLA M5","CAR","GAS",1.8,4,8.5,175
"2001 TOYOTA ECHO A4","CAR","GAS",1.5,4,8.6,179
"2001 TOYOTA ECHO M5","CAR","GAS",1.5,4,8,166
"2001 TOYOTA PRIUS AV","CAR","GAS",1.5,4,5.5,129
"2001 TOYOTA RAV4 4X4 A4","TRUCK/SUV","GAS",2,4,11.9,251
"2001 TOYOTA RAV4 4X4 M5","TRUCK/SUV","GAS",2,4,12,251
"2001 TOYOTA SEQUOIA 4X4 A4","TRUCK/SUV","GAS",4.7,8,19.3,400
"2001 TOYOTA SIENNA A4","TRUCK/SUV","GAS",3,6,13.9,283
"2001 TOYOTA TACOMA A4","TRUCK/SUV","GAS",2.4,4,12.7,274
"2001 TOYOTA TACOMA M5","TRUCK/SUV","GAS",2.4,4,12.6,267
"2001 TOYOTA TACOMA 4X4 A4","TRUCK/SUV","GAS",2.7,4,13.9,299
"2001 TOYOTA TACOMA 4X4 M5","TRUCK/SUV","GAS",2.7,4,14.5,306
"2001 TOYOTA TUNDRA A4","TRUCK/SUV","GAS",3.4,6,16.1,336
"2001 TOYOTA TUNDRA M5","TRUCK/SUV","GAS",3.4,6,15.7,334
"2001 TOYOTA TUNDRA A5","TRUCK/SUV","GAS",4.7,8,17.4,363
"2001 TOYOTA TUNDRA 4X4 A4","TRUCK/SUV","GAS",3.4,6,17.2,368
"2001 VOLKSWAGEN CABRIO A4","CAR","GAS",2,4,12.6,253
"2001 VOLKSWAGEN CABRIO M5","CAR","GAS",2,4,11.2,230
"2001 VOLKSWAGEN GOLF A4","CAR","DIESEL",1.8,4,11.9,246
"2001 VOLKSWAGEN GOLF M5","CAR","DIESEL",1.8,4,11,225
"2001 VOLKSWAGEN GTI A4","CAR","DIESEL",1.8,4,11.9,246
"2001 VOLKSWAGEN GTI M5","CAR","DIESEL",1.8,4,11,225
"2001 VOLKSWAGEN JETTA A4","CAR","DIESEL",1.8,4,11.9,246
"2001 VOLKSWAGEN JETTA M5","CAR","DIESEL",1.8,4,11,225
"2001 VOLKSWAGEN NEW BEETLE A4","CAR","DIESEL",1.8,4,11.7,239
"2001 VOLKSWAGEN NEW BEETLE M5","CAR","DIESEL",1.8,4,11,228
"2001 VOLKSWAGEN PASSAT A5","CAR","DIESEL",1.8,4,13.3,262
"2001 VOLKSWAGEN PASSAT M5","CAR","DIESEL",1.8,4,11.9,237
"2001 VOLKSWAGEN PASSAT 4MOTION A5","CAR","DIESEL",2.8,6,15.3,306
"2001 VOLKSWAGEN PASSAT 4MOTION WAGON A5","TRUCK/SUV","DIESEL",2.8,6,15.3,306
"2001 VOLKSWAGEN PASSAT WAGON A5","TRUCK/SUV","DIESEL",1.8,4,13.3,262
"2001 VOLKSWAGEN PASSAT WAGON M5","TRUCK/SUV","DIESEL",1.8,4,11.9,237
"2001 VOLVO S40 TURBO A5","CAR","DIESEL",1.9,4,11.9,235
"2001 VOLVO S80/S80 EXECUTIVE 2.9 A4","CAR","DIESEL",2.9,6,13.6,271
"2001 VOLVO S80/S80 EXECUTIVE T-6 TURBO AS4","CAR","DIESEL",2.8,6,14.2,281
"2001 VOLVO V40 WAGON TURBO A5","TRUCK/SUV","DIESEL",1.9,4,11.9,235
